Each single sum indicated by the parentheses
has a unique answer, but the double sums are ambiguous. The reason is that,
due to infinite sums, in the first expression there are terms of the form $%
\infty /\infty $ which are ambiguous. Since these matrices appear in many
physical computations we must give an unambiguous definition of the matrix
product. We will resolve this ambiguity in computations successfully by a
regularization procedure.

\subsubsection{Dirichlet at end point, Dirichlet at midpoint (DD) \label%
{sec:sinDD}}

We consider another possibility: we define the midpoint of the string ${\bar{%
\psi}}:=\psi (\pi /2),$ and impose Dirichlet boundary conditions at both $%
\sigma =0,\pi /2$ on the split string functions $l(\sigma ),r(\sigma )$, 
\begin{equation}
l(0)=r(0)=0\,,\quad l(\pi /2)=r(\pi /2)={\bar{\psi}}.
\end{equation}
We note that the midpoint value ${\bar{\psi}}$ is an additional degree of
freedom in the split string basis and cannot be chosen arbitrarily. We
expand $l(\sigma ),r(\sigma )$ using even sine modes, $e=2,4,6,\cdots $ 
\begin{eqnarray}
&&l(\sigma )={\frac{2}{\pi }}\sigma {\bar{\psi}}+\sqrt{2}\sum_{e=2}^{\infty
}l_{e}\sin e\sigma \,,~~~~l_{e}={\frac{2\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi 
}{2}}d\sigma \left( l(\sigma )-{\frac{2}{\pi }}\sigma \bar{\psi}\right) \sin
e\sigma \,,  \label{eq:lexpDD} \\
&&r(\sigma )={\frac{2}{\pi }}\sigma {\bar{\psi}}+\sqrt{2}\sum_{e=2}^{\infty
}r_{e}\sin e\sigma \,,~~~~r_{e}={\frac{2\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi 
}{2}}d\sigma \left( r(\sigma )-{\frac{2}{\pi }}\sigma \bar{\psi}\right) \sin
e\sigma \,.  \label{eq:rexpDD}
\end{eqnarray}
Again, by comparing the mode expansions Eqs.(\ref{eq_psi_exp},\ref{eq:lexpDD}%
,\ref{eq:rexpDD}) with (\ref{eq:psilrExp}), the correspondence between
split and full string variables is obtained 
\begin{equation}
\bar{\psi}={\tilde{w}}_{o}\psi _{o}\,,~~~l_{e}=\psi _{e}+\tilde{T}_{eo}\psi
_{o}\,,~~~r_{e}=-\psi _{e}+\tilde{T}_{eo}\psi _{o}\,,
\label{eq:sinDD_psi2lr}
\end{equation}
or the inverse 
\begin{equation}
\psi _{e}={\frac{1}{2}}(l_{e}-r_{e})\,,~~~\psi _{o}={\tilde{u}}_{o}\bar{\psi}%
+{\frac{1}{2}}\bar{S}_{oe}(l_{e}+r_{e})\,,  \label{eq:sinDD_lr2psi}
\end{equation}
where 
\begin{eqnarray}
{\tilde{T}}_{eo} &=&{\frac{4o^{2}~i^{o-e+1}}{\pi e(e^{2}-o^{2})}}\,=S_{eo}+{%
\tilde{v}}_{e}{\tilde{w}}_{o}=\frac{1}{e^{2}}S_{eo}o^{2}, \\
{\tilde{u}}_{o} &=&{\frac{4\sqrt{2}}{\pi ^{2}}}\int_{0}^{\frac{\pi }{2}%
}d\sigma \sigma \sin o\sigma ={\frac{4\sqrt{2}\,i^{o-1}}{\pi ^{2}o^{2}}}\,, \\
{\tilde{v}}_{e} &=&-{\frac{4\sqrt{2}}{\pi ^{2}}}\int_{0}^{\frac{\pi }{2}%
}d\sigma \sigma \sin e\sigma ={\frac{2\sqrt{2}\,i^{e}}{e\pi }}\,.
\label{eq:tilTuvinfty}
\end{eqnarray}
The maps $(\bar{\psi},l_{e},r_{e})\leftrightarrow (\psi _{n})$ are
consistent by the relation 
\begin{equation}
{\tilde{u}}_{o}{\tilde{w}}_{o}=1,\quad {\tilde{T}}\bar{S}=1\,,\quad {\tilde{T%
}}{\tilde{u}}=0,\quad S\tilde{w}=0\,.
\end{equation}

We can prove the following relations among infinite matrices $S,{\tilde{T}}$
and vectors ${\tilde{u}},{\tilde{v}},{\tilde{w}}$ by straightforward
computation: 
\begin{eqnarray}
&&S=\kappa _{e}^{2}\,{\tilde{T}}\,\kappa _{o}^{-2}\,,\quad S={\tilde{T}}-{%
\tilde{v}}{\bar{\tilde{w}}}\,,\quad \bar{S}{\tilde{v}}=-{\tilde{u}}\,,\quad S%
{\tilde{u}}=-{\tilde{v}}\,,\quad \bar{{\tilde{T}}}\tilde{v}=-{\tilde{u}}+{%
\frac{1}{3}}{\tilde{w}}\,,  \label{ss} \\
&&\bar{S}S=S\bar{S}={\tilde{T}}\bar{S}=1,\quad \bar{S}{\tilde{T}}=1-{\tilde{u%
}}{\bar{\tilde{w}}}\,,\quad S\tilde{w}={\tilde{T}}{\tilde{u}}=0\,,\quad {%
\bar{\tilde{w}}}{\tilde{u}}=1\,,\quad {\bar{\tilde{v}}}{\tilde{v}}={\bar{%
\tilde{u}}}{\tilde{u}}={\frac{1}{3}}\,,~~~  \label{eq:til_mat_rel_infty}
\end{eqnarray}
where $\kappa _{e},\kappa _{o}$ are the diagonal matrices $\kappa
_{e}=diag(2,4,6\cdots )$ and $\kappa _{o}=diag(1,3,5,\cdots )$. This algebra
is similar to the one among the infinite matrices $T,R,v,w$ which appeared
in the matter sector \cite{BM1}, where a full string function $\psi (\sigma
) $ is expanded in terms of cosine modes (see \S \ref{sec:cosine}).

\subsubsection{Regularization \label{sec:regularization_ghost}}

In the split string formulation given in \S \ref{sec:cosND} \S \ref
{sec:cosNN} \S \ref{sec:sinDN} \S \ref{sec:sinDD}, we encountered a set of
infinite dimensional matrices $T,R,S,{\tilde{T}}$ and vectors $w,v,{\tilde{w}%
},{\tilde{v}},{\tilde{u}}$. These represent Bogoliubov transformations
between odd and even modes, with $(T,R,w,v)$ appearing when the full string
is expanded in terms of cosine modes, and $(S,\tilde{T},\tilde{w},\tilde{v},%
\tilde{u})$ appearing when the full string is expanded in terms of sine
modes. Such transformations are essential in the Moyal formulation since
they carry basic information about string theory. We note that, the Moyal
star product itself, which is applied independently for each mode, has no
specific information about string theory, and as such is a more general
structure.

In the analysis of the matter sector \cite{BM1} as well as the sine mode
expansion given so far, there appears an associativity anomaly in the matrix
algebra of these matrices. This originates from the infinite dimensionality
of these matrices. It produces ambiguities in computations in string field
theory. To have a well defined theory, it is mandatory to define a deformed,
unambiguous, associative algebra that preserves the basic matrix algebraic
structure of these matrices \cite{BM1,BM2}. Such a deformation contains a
parameter $N,$ that corresponds to the rank of the matrices. The original
definition of these matrices given above is reproduced by taking the limit $%
N\rightarrow \infty $ of this parameter. All computations in the open string
field theory are performed unambiguously with finite $N,$ and the correct
value in string theory is obtained at the end of the computation by taking
the limit $N\rightarrow \infty $. This is the basic strategy for practical
computations in the MSFT proposal.

The deformed set of matrices for $T,R,w,v$ that have correctly reproduced
string theory was proposed in \cite{BM1,BM2}. Since an additional set of
matrices $S,\tilde{T},\tilde{w},\tilde{v},\tilde{u}$ have appeared in the
ghost sector we need to obtain their deformation consistently with the
matter sector. For that purpose, we start from the infinite dimensional
matrix $U$ and vectors $w^{\prime },v^{\prime }$ defined in \cite{BM2}, 
\begin{equation}
U_{-e,o}={\frac{2}{\pi }}{\frac{i^{o-e-1}}{o-e}}\,,\quad U_{-o,e}^{-1}={%
\frac{2}{\pi }}{\frac{e}{o}}{\frac{i^{o-e-1}}{o-e}}\,,\quad w_{e}^{\prime
}=i^{-e+2}\,,\quad v_{o}^{\prime }={\frac{2}{\pi }}{\frac{i^{o-1}}{o}}\,,
\label{eq:UU^-1limit}
\end{equation}
where $e$ ($o$) now run over both positive and negative integers $\pm 2,\pm
4,\cdots $ (resp. $\pm 1,\pm 3,\cdots $). In single sums these matrices
satisfy 
\begin{equation}
\sum_{o}U_{-e,o}U_{-o,e^{\prime }}^{-1}=\delta _{e,e^{\prime }}\,,\quad
\sum_{e\neq 0}U_{-o,e}^{-1}U_{-e,o^{\prime }}=\delta _{o,o^{\prime }}\,,
\label{eq_UUinv}
\end{equation}
which we denote $UU^{-1}=1_{e}$, $U^{-1}U=1_{o}$  for short in the
following. More importantly, there exists the following matrix relations
among them, 
\begin{equation}
U^{-1}={\kappa _{o}^{\prime }}^{-1}{\bar{U}}\kappa _{e}^{\prime }\,,\quad
U^{-1}=\bar{U}+v^{\prime }\bar{w}^{\prime }\,,\quad v^{\prime }=\bar{U}%
w^{\prime }\,,\quad w^{\prime }=\bar{U}^{-1}v^{\prime }\,,  \label{eq:Udef}
\end{equation}
where $\kappa _{e}^{\prime }=diag(\cdots ,-4,-2,2,4,\cdots )$, and $\kappa
_{o}^{\prime }=diag(\cdots ,-3,-1,1,3,\cdots )$ are the diagonal matrices
which specify the spectrum$.$ These relations will be used as the defining
relations. From them it is possible to derive the matrices themselves, as
given in Eq.(\ref{eq:UU^-1limit}). Therefore, they will be used as the basic
relations that are also satisfied by the deformed matrices, as given below.
The first relation implies that $U$ defines an invertible Bogoliubov
transformation between even and odd spectra (see also Eq.(\ref{even_fields}%
)). The second relation shows that the transformation $U$ is almost
orthogonal except for the vectors $v^{\prime },w^{\prime }$ which are
associated with the midpoint mode. Finally the last two define the relation
between the vectors.

On the other hand, the matrices (\ref{eq:UU^-1limit}) also satisfy 
\begin{equation}
U\bar{U}=1_{e},\quad Uv^{\prime }=0,\quad \bar{v}^{\prime }v^{\prime }=1\,,
\label{e_UUanomaly}
\end{equation}
which break the associativity \cite{BM1,BM2}. Therefore, these relations
will be deformed in the regulated theory, as seen below. Of course these
equations will hold when the regulator is removed.

All the other matrices are written in terms of $U,w',v'$, (for $e,o>0$), 
\begin{eqnarray}
&&T_{eo}=U_{-e,o}+U_{e,o}\,,\quad R_{oe}=U_{-o,e}^{-1}+U_{o,e}^{-1}\,,\quad
w_{e}=\sqrt{2}w_{e}^{\prime },\quad v_{o}=\sqrt{2}v_{o}^{\prime }\,,
\label{eqs_defns1} \\
&&S_{eo}=U_{-e,o}-U_{e,o}=U_{-o,e}^{-1}-U_{o,e}^{-1}\,,
\quad \tilde{T}_{eo}=\kappa _{e}^{-1}T\kappa _{o}\,,  \label{eqs_defns2} \\
&&\tilde{u}={\frac{2}{\pi }}\kappa _{o}^{-1}v\,,
\quad \tilde{w}={\frac{\pi }{2}%
}\kappa _{o}v\,,\quad \tilde{v}=-{\frac{2}{\pi }}\kappa _{e}^{-1}w\,,
\label{eqs_defns3}
\end{eqnarray}
where $\kappa _{o}$ and $\kappa _{e}$ are restrictions of $\kappa
_{o}^{\prime }$ and $\kappa _{e}^{\prime }$ to the positive sector. These
definitions in terms of $U,w^{\prime },v^{\prime }$ together with the
relations (\ref{eq:Udef}) among $U,w^{\prime },v^{\prime }$ are
sufficient to derive all the relations among $T,R,w,v,S,\tilde{T},\tilde{u},%
\tilde{v},\tilde{w}$. Therefore, we may use these relations as the \emph{%
definitions} of these matrices and vectors even when we use the
regularization of $U,w^{\prime },v^{\prime }$.

In \cite{BM1,BM2,BKM1}, the regularization of $U,v^{\prime },w^{\prime }$ is
given explicitly. We truncate the size of $U,v^{\prime },w^{\prime }$ to $2N$
while keeping their property of Bogoliubov transformation between even and
odd spectrum. It turns out that one may take the even and odd frequencies $%
\kappa _{e},\kappa _{o}$ as arbitrary functions of the positive integers $%
\left( e,o\right) ,$ while keeping the reflection property of $\kappa
_{e,o}^{\prime }$ to extend the definition to negative integers $\kappa
_{-e}^{\prime }=-\kappa _{e}^{\prime }$, $\kappa _{-o}^{\prime }=-\kappa
_{o}^{\prime }$. Therefore we put 
\begin{equation}
\kappa _{e}^{\prime }=\epsilon (e)\kappa _{|e|}\,,\quad \kappa _{o}^{\prime
}=\epsilon (o)\kappa _{|o|}\,.
\label{eq:kekoprime}
\end{equation}
We suppose implicitly that $\kappa _{e}^{\prime }\neq 0,\kappa _{o}^{\prime
}\neq 0$ and that these are not degenerate.

The matrices $U,U^{-1}$ and vectors $w^{\prime },v^{\prime }$ can then be 
\textit{derived} from the defining relations (\ref{eq:Udef}) as functions of
the arbitrary spectral parameters $\kappa _{e},\kappa _{o}$ as (see appendix 
\ref{sec:are} for details of the derivation) 
\begin{eqnarray}
&&U_{-e,o}={\frac{w_{e}^{\prime }v_{o}^{\prime }\kappa _{o}^{\prime }}{%
\kappa _{e}^{\prime }-\kappa _{o}^{\prime }}}\,,\quad U_{-o,e}^{-1}={\frac{%
w_{e}^{\prime }v_{o}^{\prime }\kappa _{e}^{\prime }}{\kappa _{e}^{\prime
}-\kappa _{o}^{\prime }}}\,,~~
U_{-e,o}=U_{e,-o}\,,~~U_{-o,e}^{-1}=U_{o,-e}^{-1}\,,
\label{eq:UU^-1} \\
&&\sqrt{2}\,w_{e}^{\prime }=w_{\left\vert e\right\vert }={i^{2-e}}\frac{
\prod_{o^{\prime }>0}\left\vert \kappa _{|e|}^{2}/\kappa _{o^{\prime
}}^{2}-1\right\vert ^{\frac{1}{2}}}{\prod_{e'>0, e^{\prime }\neq |e|}\left\vert
\kappa _{|e|}^{2}/\kappa _{e^{\prime }}^{2}-1\right\vert ^{\frac{1}{2}}}\,,
~~w_{e}^{\prime }=w_{-e}^{\prime }\,,\label{we}\\
&&\sqrt{2}\,v_{o}^{\prime }=v_{|o|}={i^{|o|-1}}\frac{\prod_{e^{\prime}>0}
\left\vert 1-\kappa _{|o|}^{2}/\kappa _{e^{\prime }}^{2}
\right\vert ^{\frac{1}{2}}}{\prod_{o'>0, o^{\prime }\neq |o|}
\left\vert 1-\kappa _{|o|}^{2}/\kappa_{o^{\prime }}^{2}\right\vert ^{\frac{1}{2}}}\,,~~
v_{o}^{\prime}=v_{-o}^{\prime }
\label{prime}
\end{eqnarray}
where now the indices $\left( e,o\right) $ run over the finite set $e=\pm
2,\pm 4,\dots ,\pm 2N$ and $o=\pm 1,\pm 3,\dots ,\pm (2N-1)$.
It is easy to check explicitly that in the limit $N\rightarrow \infty $ 
and $\kappa_{e}=e, $ $\kappa _{o}=o,$ these expressions reduce to 
Eq.(\ref{eq:UU^-1limit}).

The regulated expressions for these matrices look considerably more
complicated than their large $N$ limit. Therefore, it may appear that this
would create a problem in analytic computations. Actually this is not the
case at all, because in analytic computations one uses the matrix relations
satisfied by these matrices rather than the explicit matrices themselves.
The relations are preserved in the regularized version for any $N,$ and they
look the same as their $N=\infty $ counterpart. Therefore analytically the
expressions in any computation look the same in the regulated or infinite
versions as long as they are written in terms of these matrices without
using their explicit form. The explicit construction of the regulated
version insures associativity and eliminates the ambiguity of the
associativity anomaly as explained below. Thus, in addition to the basic
defining relations (\ref{eq:Udef}) which are the same for any $N,$ including 
$N=\infty $, there are more relations among $U,U^{-1},v^{\prime },w^{\prime }
$ that can now be derived from the defining relations alone for any $%
N,\kappa _{e}^{\prime },\kappa _{o}^{\prime }$ : 
\begin{eqnarray}
&&UU^{-1}=1\,,\quad U^{-1}U=1\,,\quad {\bar{U}}^{-1}U^{-1}=1+w^{\prime }\bar{%
w}^{\prime }\,,\quad \bar{U}U=1-v^{\prime }\bar{v}^{\prime }\,,
\label{eq:Umama} \\
&&U\bar{U}=1-{\frac{w^{\prime }\bar{w}^{\prime }}{1+\bar{w}^{\prime
}w^{\prime }}}\,,\quad Uv^{\prime }={\frac{w^{\prime }}{1+\bar{w}^{\prime
}w^{\prime }}}\,,\quad \bar{v}^{\prime }v^{\prime }={\frac{\bar{w}^{\prime
}w^{\prime }}{1+\bar{w}^{\prime }w^{\prime }}}\,,  \label{eq:Umodify} \\
&&U^{-1}w^{\prime }=v^{\prime }(1+{\bar{w}}^{\prime }w^{\prime })\,,\quad
U^{-1}\bar{U}^{-1}=1+v^{\prime }\bar{v}^{\prime }(1+\bar{w}^{\prime
}w^{\prime })\,,  \label{eq:Umodify2} \\
&&1+\bar{w}^{\prime }w^{\prime }={\frac{\prod_{e}\kappa _{e}^{\prime }}{%
\prod_{o}\kappa _{o}^{\prime }}}\,={\frac{\prod_{e>0}\kappa _{e}^{2}}{%
\prod_{o>0}\kappa _{o}^{2}}}\,.  \label{w2+1}
\end{eqnarray}
In particular note that Eqs.(\ref{e_UUanomaly}) are now deformed into Eqs.(%
\ref{eq:Umodify}), and that $\bar{w}^{\prime }w^{\prime }\rightarrow
2N\rightarrow \infty $ in the large $N$ limit. Thus, the deformed algebra
actually holds also at $N=\infty ;$ it simply makes explicit the behavior as
a function of $N.$ With this, the associativity anomaly hidden in the
original algebra is now resolved and the matrix algebra for all the matrices 
$U,U^{-1},T,R,S,\tilde{T},v,w,\tilde{v},\tilde{w},\tilde{u}$ defined through
Eqs.(\ref{eqs_defns1}--\ref{prime}) becomes associative.

In particular, from Eq.(\ref{eqs_defns1}--\ref{eqs_defns3}) we obtain the
regularized matrices, such as $T,R,S$, 
\begin{equation}
T_{eo}={\frac{w_{e}v_{o}\kappa _{o}^{2}}{\kappa _{e}^{2}-\kappa _{o}^{2}}}%
\,,\quad R_{oe}={\frac{w_{e}v_{o}\kappa _{e}^{2}}{\kappa _{e}^{2}-\kappa
_{o}^{2}}}\,,\quad S_{eo}={\frac{w_{e}v_{o}\kappa _{e}\kappa _{o}}{\kappa
_{e}^{2}-\kappa _{o}^{2}}}\,.  \label{eqs:defns}
\end{equation}
From the relations among $U,w^{\prime },v^{\prime }$ we can derive the
relations among $T,R,v,w,S,\tilde{T},\tilde{u},\tilde{v},\tilde{w}$. The
deformed algebra among $T,R,w,v$ (\ref{relations}) is already given in \cite
{BM1}, while the deformed algebra among $S,\tilde{T},\tilde{u},\tilde{v},
\tilde{w}$ which replaces (\ref{ss},\ref{eq:til_mat_rel_infty}) is\footnote{
